scenario,feeder_limit_kw,battery_id,position,requested_kwh,curtailed_kwh,curtail_rate_pct,curtail_share_pct
medium,60.0,0,0.1,40.0,0.0,0.0,0.0
medium,60.0,1,0.2,40.0,0.0,0.0,0.0
medium,60.0,2,0.3,40.0,0.202,0.5,0.22
medium,60.0,3,0.4,40.0,1.673,4.18,1.86
medium,60.0,4,0.5,40.0,3.34,8.35,3.72
medium,60.0,5,0.6,40.0,5.993,14.98,6.68
medium,60.0,6,0.7,40.0,10.044,25.11,11.2
medium,60.0,7,0.8,40.0,15.672,39.18,17.47
medium,60.0,8,0.9,40.0,22.456,56.14,25.03
medium,60.0,9,1.0,40.0,30.32,75.8,33.8
hard,40.0,0,0.1,40.0,11.537,28.84,3.9
hard,40.0,1,0.2,40.0,15.672,39.18,5.3
hard,40.0,2,0.3,40.0,20.031,50.08,6.77
hard,40.0,3,0.4,40.0,25.033,62.58,8.46
hard,40.0,4,0.5,40.0,30.32,75.8,10.25
hard,40.0,5,0.6,40.0,34.391,85.98,11.62
hard,40.0,6,0.7,40.0,38.854,97.13,13.13
hard,40.0,7,0.8,40.0,40.0,100.0,13.52
hard,40.0,8,0.9,40.0,40.0,100.0,13.52
hard,40.0,9,1.0,40.0,40.0,100.0,13.52
