scenario,n_batteries,feeder_limit_kw,controller,randomness,peak,ramp,violations,total_excess
light,5,60.0,Baseline - TOU,,103.11925491708158,43.283735678346794,3,91.55447509720697
light,5,60.0,Randomized TOU,0.2,65.29911690486058,31.881732422902914,4,15.274644633646489
light,5,60.0,Randomized TOU,0.6,83.11925491708158,31.881732422902914,3,36.29131720247013
light,5,60.0,Randomized TOU,0.9,93.65923231420368,33.283735678346794,3,78.92289614983855
medium,10,60.0,Baseline - TOU,,202.01367359526748,96.38198147199964,19,1002.8938963880934
medium,10,60.0,Randomized TOU,0.2,123.34653830865585,26.381981471999637,24,886.462159843089
medium,10,60.0,Randomized TOU,0.6,166.771491136085,54.271250077228615,20,918.2517603293007
medium,10,60.0,Randomized TOU,0.9,202.01367359526748,86.38198147199964,19,980.3938963880934
hard,20,80.0,Baseline - TOU,,391.5404576795571,202.02363843545564,19,2782.8188816928596
hard,20,80.0,Randomized TOU,0.2,247.9942110733666,77.47054630637365,24,2813.986085943423
hard,20,80.0,Randomized TOU,0.6,330.9657928541727,132.02363843545564,20,2601.17099409073
hard,20,80.0,Randomized TOU,0.9,360.9657928541727,182.02363843545564,19,2742.81888169286
